idstd,id,a4a,a6a,a2,a1c,a0,a3a,a6c,a7,panel,a1a,a14d,a14m,a14y,a14h,a14min,a20y,a20m,a20d,a1,a12,a7a,a7b,a11,a7c,a9,b1_NG,b1,b1x,b3a,b2a,b2b,b2c,b2d,b4,b4a,b5,b6,b6b,b7,b7a,b8,b8x,c3,c4,c5,c31,c6,c7,c8a,c8b,c9a,c9b,c10,c11,c43,c44,c12,c13,c14,c33,c45,c152,c162,c172,c22b,c36,c37,c39,c42,d1a1a,d1a3,d2,d2x,n3,n3x,f1,d3a,d3b,d3c,d31x,d42,d43a,d43b,d4a,d4b,d342,d352,d8,d12a,d12b,d13,d38x,d44,d45a,d45b,d14a,d14b,d412,o1,o2,o3a2,o3b2,j31,r1,r2,r3,r4,r5,r6,r7,r8,r9,r10,r11,e1,e2b,e312,e32,e33,e6,e11,h1,h2,h32x,h5,h62x,h8,h9,d1a6a,d1a6b,d1a6c,d1a6cx,g5a,g5b,g5bx,g2,g3,g4,g34,ge3,ge3a,ge7,ge8d,k3a,k3i,k3j,k3bc,k3e,k3f,k3dgh,k4,n5a,n5b,k5a,k5a1,k5i,k5i1,k5j,k5j1,k5bc,k5bc1,k5e,k5e1,k5f,k5f1,k5dgh,k5dgh1,k6,k82b,k82a,k9,k10,k11,k13,k14a,k14b,k14c,k14d,k14e,k15a,k15d,k162a,k162b,k17,k20a1,k32,k21,k33,k342,k342x,k35,k36,k38,k392,k392x,k40,j2,j3,j4,j5,j32,j33,j35,j36,j37,j38,j39,j40,j6a,j41,j42,j43,j7a,j7b,j10,j11,j12,j13,j14,j15,k30,g30a,j30c,j30f,h30,i30,d30b,c30a,l30b,l30a,j30e,e30,j30b,j30a,d30a,k30_finance_pos,g30_land_pos,j30_permit_pos,j30_corruption_pos,j30_courts_pos,j30_crime_pos,d30_trade_pos,c30_electricity_pos,l30_workforce_pos,l30_labor_pos,j30_instability_pos,e30_informal_pos,j30_taxadmin_pos,j30_taxrate_pos,d30_transport_pos,m1a,m1a_finance_pos,m1a_land_pos,m1a_permit_pos,m1a_corruption_pos,m1a_courts_pos,m1a_crime_pos,m1a_trade_pos,m1a_electricity_pos,m1a_workforce_pos,m1a_labor_pos,m1a_instability_pos,m1a_informal_pos,m1a_taxadmin_pos,m1a_taxrate_pos,m1a_transport_pos,l1,l2,l9b,l9b1,l3a,l3b,l5a,l5b,l5,l4a1,l4a2,l4b,l10,l11a1,l11a,l11b1,l11b,l12a1,l12a,l34,l35,l36,l1a,l6,l6a,l8,l37,l38a,l38b,l40,l41,l30d,l30c,c32,c32b,c34,c34b,c34bx,c34c,n2a,n2a2,n2e,n2i,n7a,n11,a15d,a15m,a15y,a15h,a15min,a16,a17,a18,a19h,a19m,a13,a1d,a3b,a3c,a3,d1a2_v4,stratificationregioncode,stratificationsizecode,stratificationsectorcode,stratificationpanelcode,wstrict,wmedian,wweak,strata
1594222,32760,Retail,Medium,South East,Establishment,Other services,South East,25,Yes,Fresh,English,15,5,2025,13,35,2024,12,31,93,Interviewer26,24.0,No,,,Yes,Sole proprietorship (Business Name Registration),Sole proprietorship,,Yes,Fully domestically owned (private),0,0,0,No,,1991,10,1991,37,No,No,,No,,,,No,,,,,,No,,Yes,100.0,No,,,,ESTABLISHMENT DOES NOT HAVE PIPED WATER FROM A UTILITY PROVIDER,No,,,Yes,No,,The establishment does not have an internet connection,With no difficulty at all,Wholesale trade of ,90,700000000.0,Seven hundred million,500000000.0,five hundred million,,100,0,0,,,,,,,,,,70,30,No,,,,,,,,No,,Tend to agree,Strongly agree,Tend to agree,"We fixed it and took action to make sure that it did not happen again, and had a continuous improvement process to anticipate problems like these in advance",Yes,3-9 production performance indicators,Yes,Combination of short term and long term production targets,Only possible to achieve with extraordinary effort,All managers and most production workers,Yes,Their own performance,Promotions were based solely on performance and ability,Within 6 months of identifying non-manager under-performance,Local or in some parts of the country,Too many to count,There is competition among many firms,Increased,Prices are regulated,No,Yes,No,,,No,,No,,,,,,,,,No,,,Strongly agree,No,,No,No,30,50,0,0,0,0,20,No,,,,,,,,,,,,,,,,,Yes,No,No,,,,,,,,,,,No,No,No,No need for a loan - establishment had sufficient capital,,,No,50,"Bank transfers, including through online and mobile banking",,Payment received in less than a day,Above 0 but below 0.5%,70," Bank transfers, including through online and mobile banking",,Above 0 but below 0.5%,12,Yes,3.0,No,No,,35,"Yes, partially","Yes, partially",No refund systems exists,,,Yes,Somewhat difficult,Yes,Less than one day,No payments or gifts are paid,,No,,,Yes,10.0,No,No obstacle,No obstacle,Moderate obstacle,Minor obstacle,Minor obstacle,Minor obstacle,Minor obstacle,Major obstacle,Moderate obstacle,Minor obstacle,Moderate obstacle,Minor obstacle,Major obstacle,Major obstacle,Minor obstacle,5,11,3,13,4,6,7,15,2,10,12,14,1,8,9,Tax rates,5,11,3,13,4,6,7,15,2,10,12,14,1,8,9,25,25,90.0,,,,,,12.0,23,2,0,No,,,,,,,Yes,Dismissals were immediate,No severance was paid,No part-time workers,No full-time seasonal or temporary workers,,,No,,,Yes,No,Minor obstacle,Minor obstacle,650,60000.0,0,,,0,20000000.0,2000000.0,,,,40,17,5,2025,8,53,Truthful,Are taken directly from establishment records,One visit in face-to-face interview with one person,,,3,Face to face only,No,No,City with population over 1 million,4661,South East,Medium (20-99),Retail,Fresh,19.648123,21.660894,21.785997,129
1594223,32953,Other Manufacturing,Small,South East,Establishment,Other services,South East,5,No,Fresh,English,31,5,2025,7,32,2024,12,31,93,Interviewer26,,,,,,Sole proprietorship (Business Name Registration),Sole proprietorship,,Yes,Fully domestically owned (private),0,0,0,No,,2018,5,2019,8,No,No,,No,,,,Yes,25.0,3.0,45.0,10.0,,Yes,20.0,No,,No,,,,ESTABLISHMENT DOES NOT HAVE PIPED WATER FROM A UTILITY PROVIDER,No,,,Yes,No,,The establishment does not have an internet connection,With little difficulty,Wholesale trade of ,90,10000000.0,Ten million,8000000.0,Eight million,,100,0,0,,,,,,,,,,100,0,,,,,,,,,No,,Strongly agree,Strongly agree,Strongly agree,,,,,,,,,,,,Local or in some parts of the country,Too many to count,There is competition among many firms,Stayed the same,No,No,Yes,No,,,No,,No,,,,,,,,,No,,,Strongly agree,No,,No,No,30,40,0,0,0,10,20,No,,,,,,,,,,,,,,,,,Yes,No,No,,,,,,,,,,,No,No,No,Interest rates were not favorable,,,No,70,"Bank transfers, including through online and mobile banking",,Payment received in less than a day,Above 0 but below 0.5%,80," Bank transfers, including through online and mobile banking",,Above 0 but below 0.5%,No time spent,Yes,3.0,No,No,,30,"Yes, fully","Yes, fully",No,,The establishment did not need to request a refund,No,,No,,No payments or gifts are paid,,No,,,No,,,Major obstacle,Minor obstacle,Moderate obstacle,Moderate obstacle,Minor obstacle,Moderate obstacle,Minor obstacle,Major obstacle,Moderate obstacle,Moderate obstacle,Moderate obstacle,Moderate obstacle,Major obstacle,Major obstacle,Minor obstacle,14,11,6,3,13,7,4,15,12,5,1,10,2,8,9,Access to finance,14,11,6,3,13,7,4,15,12,5,1,10,2,8,9,5,5,90.0,,,,,,1.0,4,1,0,No,,,,,,,Yes,Dismissals were immediate,No severance was paid,No part-time workers,No full-time seasonal or temporary workers,,,No,,,No,,Minor obstacle,Minor obstacle,650,30000.0,0,,,0,2000000.0,250000.0,,,,20,1,6,2025,17,40,Truthful,Are estimates computed with some precision,One visit in face-to-face interview with one person,,,3,Video conference only,No,No,City with population over 1 million,4630,South East,Small (5-19),Other Manufacturing,Fresh,144.62773,164.10724,163.80412,113
1594224,32995,Retail,Small,South East,Establishment,Retail services,South East,10,Yes,Fresh,English,15,5,2025,16,9,2024,12,31,93,Interviewer26,5.0,No,,,Yes,Sole proprietorship (Business Name Registration),Sole proprietorship,,Yes,Fully domestically owned (private),0,0,0,No,,1997,6,1997,28,No,No,,No,,,,Yes,20.0,7.0,45.0,20.0,,Yes,50.0,No,,No,,,,ESTABLISHMENT DOES NOT HAVE PIPED WATER FROM A UTILITY PROVIDER,No,,,Yes,No,,The establishment does not have an internet connection,With no difficulty at all,Retail trade of ,90,300000000.0,Three hundred million,100000000.0,one hundred million,,100,0,0,,,,,,,,,,80,20,No,,,,,,,,No,,Tend to agree,Strongly agree,Tend to agree,,,,,,,,,,,,Local or in some parts of the country,Too many to count,There is competition among many firms,Stayed the same,No,No,Yes,No,,,No,,No,,,,,,648.0,Square Meters,,No,,,Strongly agree,No,,No,No,20,30,0,0,30,0,20,Yes,0.0,500000.0,30.0,,20.0,,0.0,,0.0,,20.0,,0.0,,30.0,,Yes,Yes,Yes,Non-bank financial institutions,2016.0,50000000.0,Yes,No,No,No,Yes,No,25000000.0,No,No,Yes,,Application was approved in full,,No,60,"Bank transfers, including through online and mobile banking",,Payment received in less than a day,Above 0 but below 0.5%,60," Bank transfers, including through online and mobile banking",,Above 0 but below 0.5%,12,Yes,3.0,No,No,,40,"Yes, partially","Yes, partially",No refund systems exists,,,No,,No,,No payments or gifts are paid,,No,,,Yes,14.0,No,Minor obstacle,Minor obstacle,Moderate obstacle,Moderate obstacle,Minor obstacle,Minor obstacle,No obstacle,Major obstacle,Moderate obstacle,Moderate obstacle,Minor obstacle,Minor obstacle,Very severe obstacle,Very severe obstacle,Minor obstacle,14,11,8,3,6,13,15,4,2,1,12,10,5,9,7,Tax rates,14,11,8,3,6,13,15,4,2,1,12,10,5,9,7,10,10,90.0,,,,,,4.0,7,3,0,No,,,,,,,No,,,No part-time workers,No full-time seasonal or temporary workers,,,No,,,Yes,No,Minor obstacle,Minor obstacle,650,50000.0,0,,,0,10000000.0,2000000.0,,50000000.0,,40,17,5,2025,12,24,Truthful,Are taken directly from establishment records,One visit in face-to-face interview with one person,,,3,Face to face only,No,No,City with population over 1 million,4730,South East,Small (5-19),Retail,Fresh,80.795456,88.105705,89.002525,116
1594225,33103,Retail,Small,South East,Establishment,Retail services,South East,22,Yes,Fresh,English,15,5,2025,14,46,2024,12,31,93,Interviewer26,6.0,No,,,Yes,Sole proprietorship (Business Name Registration),Sole proprietorship,,No,Fully domestically owned (private),0,0,0,No,,1964,10,1964,40,No,No,,No,,,,Yes,15.0,5.0,30.0,40.0,,Yes,50.0,No,,No,,,,ESTABLISHMENT DOES NOT HAVE PIPED WATER FROM A UTILITY PROVIDER,No,,,Yes,No,,The establishment does not have an internet connection,With some difficulty,Retail trade of ,90,80000000.0,Eighty million,60000000.0,Sixty Million,,100,0,0,,,,,,,,,,100,0,,,,,,,,,No,,Tend to agree,Strongly agree,Strongly agree,"We fixed it and took action to make sure that it did not happen again, and had a continuous improvement process to anticipate problems like these in advance",Yes,1-2 production performance indicators,Yes,Combination of short term and long term production targets,Only possible to achieve with extraordinary effort,All managers and most production workers,Yes,Their own performance,Promotions were based solely on performance and ability,Within 6 months of identifying non-manager under-performance,Local or in some parts of the country,Too many to count,There is competition among many firms,Stayed the same,No,No,Yes,No,,,No,,No,,,,,,10000.0,Square Feet,,No,,,Strongly agree,No,,No,No,30,50,0,0,0,0,20,No,,,,,,,,,,,,,,,,,Yes,No,No,,,,,,,,,,,No,No,No,No need for a loan - establishment had sufficient capital,,,No,80,"Bank transfers, including through online and mobile banking",,Payment received in less than a day,Above 0 but below 0.5%,80," Bank transfers, including through online and mobile banking",,Above 0 but below 0.5%,12,Yes,3.0,No,No,,35,"Yes, fully","Yes, fully",No,,The establishment did not need to request a refund,No,,No,,No payments or gifts are paid,,No,,,No,,,No obstacle,No obstacle,Moderate obstacle,No obstacle,No obstacle,Moderate obstacle,Minor obstacle,Moderate obstacle,Minor obstacle,Moderate obstacle,No obstacle,Moderate obstacle,Very severe obstacle,Very severe obstacle,No obstacle,10,2,12,7,14,13,8,6,9,11,15,5,4,1,3,Tax administration,10,2,12,7,14,13,8,6,9,11,15,5,4,1,3,22,22,80.0,,,,,,10.0,12,7,3,No,,,,,,,Yes,Dismissals were immediate,No severance was paid,No part-time workers,No full-time seasonal or temporary workers,,,No,,,Yes,No,Minor obstacle,Minor obstacle,855,50000.0,0,,,0,15000000.0,3000000.0,,30000000.0,,40,24,5,2025,12,39,Truthful,Are taken directly from establishment records,One visit in face-to-face interview with one person,,,3,Face to face only,No,No,City with population over 1 million,4730,South East,Small (5-19),Retail,Fresh,80.795456,88.105705,89.002525,116
1594226,33153,Food,Small,South East,Establishment,Manufacturing,South East,5,No,Fresh,English,23,5,2025,16,33,2024,12,31,93,Interviewer26,,,,,,Sole proprietorship (Business Name Registration),Sole proprietorship,,Yes,Fully domestically owned (private),0,0,0,No,,2013,2,2014,12,No,No,,No,,,,Yes,20.0,6.0,35.0,20.0,,Yes,60.0,No,,No,,,,ESTABLISHMENT DOES NOT HAVE PIPED WATER FROM A UTILITY PROVIDER,No,,,Yes,No,,The establishment does not have an internet connection,With some difficulty,Manufacturing of ,90,10000000.0,Ten million,8000000.0,Eight million,40.0,100,0,0,,,,,,,,,,70,30,No,,,,,,,,No,,Strongly agree,Strongly agree,Tend to agree,,,,,,,,,,,,Local or in some parts of the country,7.0,The market is dominated by a few firms,Stayed the same,Prices are regulated,No,Yes,No,,,No,,No,,,,,,,,,No,,,Strongly agree,No,,No,No,30,40,0,0,0,10,20,No,,,,,,,,,,,,,,,,,Yes,No,No,,,,,,,,,,,No,No,No,Collateral requirements were too high,,,No,70,"Bank transfers, including through online and mobile banking",,Payment received in less than a day,Above 0 but below 0.5%,80," Bank transfers, including through online and mobile banking",,Above 0 but below 0.5%,No time spent,Yes,2.0,No,No,,30,"Yes, fully","Yes, fully",No,,The establishment did not need to request a refund,No,,No,,No payments or gifts are paid,,No,,,No,,,Very severe obstacle,Moderate obstacle,Moderate obstacle,Minor obstacle,No obstacle,Moderate obstacle,Moderate obstacle,Major obstacle,Moderate obstacle,Moderate obstacle,Moderate obstacle,Minor obstacle,Moderate obstacle,Moderate obstacle,Moderate obstacle,10,6,13,2,1,8,12,7,5,11,14,15,3,9,4,Access to finance,10,6,13,2,1,8,12,7,5,11,14,15,3,9,4,5,5,90.0,,5.0,0.0,1.0,0.0,,4,1,0,No,,,,,,,No,,,No part-time workers,No full-time seasonal or temporary workers,,,No,,,Yes,No,Minor obstacle,Minor obstacle,650,60000.0,0,,,0,3000000.0,150000.0,6000000.0,,1500000.0,25,26,5,2025,15,35,Truthful,Are taken directly from establishment records,One visit in face-to-face interview with one person,,,3,"Mainly video conference, with parts done face to face or over the phone",No,No,City with population over 1 million,2023,South East,Small (5-19),Food,Fresh,6.46026,6.7893,6.780947,107
1594227,33515,Other Services,Small,South South,Establishment,Retail services,South South,12,No,Fresh,English,30,4,2025,15,36,2024,12,31,93,Interviewer38,,,,,,LTD (Private Limited Company),Shareholding company with non-traded shares or shares traded privately,,No,Fully domestically owned (private),0,0,0,No,,2018,12,2004,6,No,Don't know (spontaneous),,No,,,,Yes,15.0,6.0,20.0,,180000.0,Yes,90.0,No,,No,,,,ESTABLISHMENT DOES NOT HAVE PIPED WATER FROM A UTILITY PROVIDER,No,,,Yes,No,,No,There is only one available internet provider,Retail trade of ,90,25000000.0,twenty five million,40000000.0,forty million,,100,0,0,,,,,,,,,,100,0,,,,,,,,,No,,Tend to agree,Tend to agree,Tend to disagree,,,,,,,,,,,,National ,Too many to count,There is competition among many firms,Increased,Prices are regulated,No,No,No,,,No,,No,,,,,,600.0,Square Feet,,No,,,Tend to agree,No,,Yes,Yes,45,15,0,20,0,20,0,No,,,,,,,,,,,,,,,,,Yes,No,No,,,,,,,,,,,Don't know (spontaneous),No,No,Collateral requirements were too high,,,Yes,30,Debit cards,,Payment received in less than a day,50.0,80," Bank transfers, including through online and mobile banking",,5.0,No time spent,Yes,3.0,No,No,,48,No,"Yes, fully",No,,The establishment did not need to request a refund,No,,No,,No payments or gifts are paid,,No,,,No,,,Major obstacle,Minor obstacle,No obstacle,Major obstacle,Moderate obstacle,Moderate obstacle,Moderate obstacle,Moderate obstacle,Minor obstacle,Minor obstacle,Very severe obstacle,Moderate obstacle,Major obstacle,Major obstacle,Very severe obstacle,14,13,1,10,15,6,11,3,12,8,2,4,5,7,9,Political instability,14,13,1,10,15,6,11,3,12,8,2,4,5,7,9,12,12,12.0,,,,,,5.0,3,5,4,No,,,,,,,No,,,No part-time workers,No full-time seasonal or temporary workers,,,No,,,No,,No obstacle,Minor obstacle,200,10000.0,0,,,0,6480000.0,1080000.0,,20000000.0,,10,30,4,2025,17,46,Somewhat truthful,Are estimates computed with some precision,One visit in face-to-face interview with one person,,,2,Face to face only,No,No,Over 250.000 to 1 million,4730,South South,Small (5-19),Other Services,Fresh,219.96727,235.10156,235.704,148
1594228,33663,Other Services,Small,South South,Establishment,Other services,South South,15,No,Fresh,English,22,4,2025,12,19,2024,12,31,93,Interviewer38,,,,,,Sole proprietorship (Business Name Registration),Sole proprietorship,,No,Fully domestically owned (private),0,0,0,No,,2014,13,2017,5,Yes,No,,Yes,240.0,No,Don't know (spontaneous),Yes,10.0,5.0,20.0,10.0,,Yes,90.0,No,,No,,,,It is suitable for all operational needs,No,,,No,No,,The establishment does not have an internet connection,There is only one available internet provider,Hotel,80,30000000.0,thirty million,20000000.0,twenty million,,100,0,0,,,,,,,,,,100,0,,,,,,,,,No,,Strongly disagree,Tend to disagree,Tend to disagree,,,,,,,,,,,,National ,Too many to count,There is competition among many firms,Increased,No,No,Yes,No,,,No,,No,,21.0,144.0,Square Meters,,,,,No,,,Tend to disagree,No,,No,Yes,100,0,0,0,0,0,0,No,,,,,,,,,,,,,,,,,Yes,No,No,,,,,,,,,,,Don't know (spontaneous),No,No,No need for a loan - establishment had sufficient capital,,,No,80,Debit cards,,Payment received in less than a day,50.0,90," Bank transfers, including through online and mobile banking",,Don't know (spontaneous),No time spent,No,,,,,48,No,"Yes, fully",No,,The establishment did not need to request a refund,No,,No,,No payments or gifts are paid,,No,,,No,,,Very severe obstacle,Minor obstacle,Major obstacle,Very severe obstacle,Major obstacle,Major obstacle,Minor obstacle,Very severe obstacle,Moderate obstacle,Very severe obstacle,Moderate obstacle,Major obstacle,Major obstacle,Major obstacle,Major obstacle,3,1,13,9,14,4,5,7,6,11,12,2,15,8,10,Electricity,3,1,13,9,14,4,5,7,6,11,12,2,15,8,10,13,4,100.0,,,,,,7.0,0,13,0,No,,,,,,,No,,,No part-time workers,No full-time seasonal or temporary workers,,,No,,,No,,Minor obstacle,Minor obstacle,10979,136500.0,Don't know (spontaneous),,,Don't know (spontaneous),6000000.0,420000.0,,,,20,22,4,2025,14,21,Truthful,Are taken directly from establishment records,One visit in face-to-face interview with one person,,,2,Face to face only,No,No,Over 250.000 to 1 million,5510,South South,Small (5-19),Other Services,Fresh,219.96727,235.10156,235.704,148
1594229,33717,Professional Activities,Medium,South South,Establishment,Retail services,South South,35,No,Fresh,English,3,4,2025,9,23,2024,12,31,93,Interviewer38,,,,,,Private Unlimited Company - single owner,Sole proprietorship,,Yes,Fully domestically owned (private),0,0,0,No,,2010,15,2010,10,No,No,,No,,,,Yes,15.0,4.0,15.0,No Losses,,Yes,65.0,No,,No,,,,It is suitable for only some operational needs,No,,,Yes,No,,The establishment does not have an internet connection,With little difficulty,Retail trade of ,70,200000000.0,Two hundred million,130000000.0,One hundred and thirty million,,100,0,0,,,,,,,,,,100,0,,,,,,,,,No,,Tend to agree,Tend to agree,Strongly disagree,"We fixed it and took action to make sure that it did not happen again, and had a continuous improvement process to anticipate problems like these in advance",Yes,3-9 production performance indicators,Yes,Combination of short term and long term production targets,Possible to achieve with more than normal effort,All managers and most production workers,Yes,Their team's or shift performance,Promotions were based solely on performance and ability,Rarely or never,National ,Too many to count,The market is dominated by a few firms,Increased,No,No,Yes,No,,,No,,No,,,,,,Don't know (spontaneous),,,No,,,Tend to agree,No,,Yes,Yes,50,20,0,10,0,0,20,No,,,,,,,,,,,,,,,,,Yes,No,No,,,,,,,,,,,Don't know (spontaneous),No,No,Collateral requirements were too high,,,Yes,90,"Bank transfers, including through online and mobile banking",,Payment received in less than a day,Costless (Zero),80," Bank transfers, including through online and mobile banking",,Above 0 but below 0.5%,No time spent,Yes,3.0,No,No,,72,No,"Yes, fully",No,,The establishment did not need to request a refund,No,,No,,No payments or gifts are paid,,No,,,No,,,Major obstacle,Minor obstacle,Minor obstacle,Minor obstacle,No obstacle,Moderate obstacle,Minor obstacle,Major obstacle,Minor obstacle,Minor obstacle,Minor obstacle,Moderate obstacle,Very severe obstacle,Major obstacle,Major obstacle,11,13,14,1,6,9,8,12,2,4,15,10,7,3,5,Tax rates,11,13,14,1,6,9,8,12,2,4,15,10,7,3,5,32,28,70.0,,,,,,0.0,17,10,5,No,,,,,,,No,,,No part-time workers,No full-time seasonal or temporary workers,,,No,,,Yes,No,No obstacle,Major obstacle,Don't know (spontaneous),20000.0,100,Liters,,100,30000000.0,4200000.0,,20000000.0,,15,3,4,2025,10,50,Somewhat truthful,Are estimates computed with some precision,One visit in face-to-face interview with one person,,,2,Face to face only,No,No,Over 250.000 to 1 million,4789,South South,Medium (20-99),Professional Activities,Fresh,157.41708,170.49287,177.23378,157
1594230,33996,Other Services,Small,South South,Establishment,Other services,South South,18,Yes,Fresh,English,12,2,2025,13,19,2024,12,31,93,Interviewer38,2.0,Yes,Yes,Yes,,Sole proprietorship (Business Name Registration),Sole proprietorship,,No,Fully domestically owned (private),0,0,0,No,,2009,42,2002,16,Yes,Don't know (spontaneous),,No,,,,Yes,3.0,0.0,10.0,20.0,,Yes,Don't know (spontaneous),No,,No,,,,It is suitable for all operational needs,No,,,Yes,No,,No,With no difficulty at all,Hotel,40,10000000.0,ten million,Don't know (spontaneous),,,100,0,0,,,,,,,,,,100,0,,,,,,,,,No,,Tend to agree,Strongly disagree,Tend to agree,,,,,,,,,,,,National ,Too many to count,There is competition among many firms,Increased,Yes,No,Don't know (spontaneous),Yes,No,Introduction of internet provider which differ from the previous which mobile internet connection,No,,Yes,Don't know (spontaneous),43.0,120.0,Square Meters,,,,,Yes,Don't know (spontaneous),Yes,Strongly agree,No,,No,No,100,0,0,0,0,0,0,Yes,1250000000.0,Don't know (spontaneous),100.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,Yes,Yes,Don't know (spontaneous),Don't know (spontaneous),Don't know (spontaneous),Don't know (spontaneous),Don't know (spontaneous),,,,,,,Don't know (spontaneous),No,No,No need for a loan - establishment had sufficient capital,,,Yes,90,Debit cards,,Payment received in less than a day,Costless (Zero),100,Debit cards,,Don't know (spontaneous),No time spent,Yes,1.0,No,Don't know (spontaneous),,Don't know (spontaneous),No,Don't know (spontaneous),Don't know (spontaneous),,,No,,No,,Don't know (spontaneous),,No,,,No,,,Major obstacle,Very severe obstacle,Don't know (spontaneous),Very severe obstacle,No obstacle,Major obstacle,No obstacle,Moderate obstacle,No obstacle,No obstacle,Major obstacle,Minor obstacle,Very severe obstacle,Major obstacle,Minor obstacle,9,15,10,11,2,12,7,4,5,8,14,13,3,6,1,Access to land,9,15,10,11,2,12,7,4,5,8,14,13,3,6,1,18,28,100.0,,,,,,11.0,Don't know (spontaneous),Don't know (spontaneous),Don't know (spontaneous),Yes,,,,,6.0,,Yes,30.0,30.0,No part-time workers,No full-time seasonal or temporary workers,,,No,,,Yes,Yes,No obstacle,Major obstacle,Don't know (spontaneous),534100.0,Don't know (spontaneous),,,Don't know (spontaneous),4593850.0,Don't know (spontaneous),,,,Don't know (spontaneous),12,2,2025,15,35,Not truthful,Are arbitrary and unreliable numbers,One visit in face-to-face interview with one person,,,2,Face to face only,No,No,City with population over 1 million,5510,South South,Small (5-19),Other Services,Fresh,219.96727,235.10156,235.704,148
1594231,34124,Professional Activities,Medium,South South,Establishment,Other services,South South,5,Yes,Fresh,English,29,4,2025,13,20,2024,12,31,93,Interviewer38,5.0,No,,,Yes,LTD (Private Limited Company),Shareholding company with non-traded shares or shares traded privately,,Yes,Fully domestically owned (private),0,0,0,Yes,20.0,2014,7,2014,5,Yes,No,,No,,,,Yes,10.0,5.0,20.0,No Losses,,Yes,60.0,No,,No,,,,ESTABLISHMENT DOES NOT HAVE PIPED WATER FROM A UTILITY PROVIDER,No,,,Yes,No,,The establishment does not have an internet connection,There is only one available internet provider,Wholesale trade of ,70,30000000.0,thirty million,20000000.0,twenty million,,100,0,0,,,,,,,,,,100,0,,,,,,,,,No,,Tend to agree,Tend to agree,Strongly disagree,,,,,,,,,,,,National ,Too many to count,There is competition among many firms,Increased,Prices set by HQ,No,Yes,No,,,No,,No,,,,,,,,,No,,,Strongly agree,No,,No,Yes,70,30,0,0,0,0,0,No,,,,,,,,,,,,,,,,,Yes,No,No,,,,,,,,,,,Don't know (spontaneous),No,No,No need for a loan - establishment had sufficient capital,,,Yes,60,Debit cards,,Payment received in less than a day,Don't know (spontaneous),65," Bank transfers, including through online and mobile banking",,Don't know (spontaneous),No time spent,No,,,,,18,No,"Yes, fully",No,,The establishment did not need to request a refund,No,,No,,No payments or gifts are paid,,No,,,No,,,Major obstacle,Minor obstacle,No obstacle,Moderate obstacle,No obstacle,Minor obstacle,Minor obstacle,Minor obstacle,No obstacle,Minor obstacle,Minor obstacle,Minor obstacle,Moderate obstacle,Moderate obstacle,Very severe obstacle,4,15,12,3,11,7,9,2,10,6,14,13,8,1,5,Tax administration,4,15,12,3,11,7,9,2,10,6,14,13,8,1,5,5,7,100.0,,,,,,1.0,1,3,1,No,,,,,,,No,,,No part-time workers,No full-time seasonal or temporary workers,,,No,,,No,,No obstacle,Minor obstacle,1032,20000.0,0,,,0,6000000.0,600000.0,,,,5,29,4,2025,18,45,Somewhat truthful,Are estimates computed with some precision,One visit in face-to-face interview with one person,,,2,Face to face only,No,No,Over 250.000 to 1 million,4663,South South,Medium (20-99),Professional Activities,Fresh,157.41708,170.49287,177.23378,157
